hashtag_id,hoax_id,hoax_name,value
16542067,0,deepstatevirus deepstatevaccine deepstatefauci,99
77112,0,deepstatevirus deepstatevaccine deepstatefauci,66
1537279,0,deepstatevirus deepstatevaccine deepstatefauci,64
34705,0,deepstatevirus deepstatevaccine deepstatefauci,63
20506,0,deepstatevirus deepstatevaccine deepstatefauci,49
82851,0,deepstatevirus deepstatevaccine deepstatefauci,46
7074589,0,deepstatevirus deepstatevaccine deepstatefauci,46
25091,0,deepstatevirus deepstatevaccine deepstatefauci,33
511508,0,deepstatevirus deepstatevaccine deepstatefauci,30
206162,0,deepstatevirus deepstatevaccine deepstatefauci,30
20506,1,qanon maga wwg1wga,402352
25089,1,qanon maga wwg1wga,199345
77112,1,qanon maga wwg1wga,128051
14415,1,qanon maga wwg1wga,70028
25091,1,qanon maga wwg1wga,64945
27195,1,qanon maga wwg1wga,56430
197,1,qanon maga wwg1wga,36691
91,1,qanon maga wwg1wga,35611
82851,1,qanon maga wwg1wga,35255
259500,1,qanon maga wwg1wga,33446
66445,2,agenda21,365
12,2,agenda21,254
111971,2,agenda21,217
198578,2,agenda21,187
20506,2,agenda21,168
206543,2,agenda21,90
363281,2,agenda21,82
66444,2,agenda21,79
2298,2,agenda21,79
363282,2,agenda21,66
3073063,3,ccpvirus chinaliedpeopledied,1299
5112446,3,ccpvirus chinaliedpeopledied,948
8,3,ccpvirus chinaliedpeopledied,364
206162,3,ccpvirus chinaliedpeopledied,259
20506,3,ccpvirus chinaliedpeopledied,257
752,3,ccpvirus chinaliedpeopledied,245
12,3,ccpvirus chinaliedpeopledied,232
561,3,ccpvirus chinaliedpeopledied,176
22560,3,ccpvirus chinaliedpeopledied,171
2,3,ccpvirus chinaliedpeopledied,161
159068,4,climatechangehoax globalwarminghoax,16
12,4,climatechangehoax globalwarminghoax,10
66445,4,climatechangehoax globalwarminghoax,6
4407103,4,climatechangehoax globalwarminghoax,2
20506,4,climatechangehoax globalwarminghoax,2
25089,4,climatechangehoax globalwarminghoax,2
25651,4,climatechangehoax globalwarminghoax,2
134998,4,climatechangehoax globalwarminghoax,2
488582,4,climatechangehoax globalwarminghoax,2
2219079,4,climatechangehoax globalwarminghoax,2
3907585,5,sorosvirus,4
12,5,sorosvirus,4
15552438,6,5gcoronavirus,89
206162,6,5gcoronavirus,25
33793,6,5gcoronavirus,21
12,6,5gcoronavirus,18
20506,6,5gcoronavirus,18
66445,6,5gcoronavirus,9
25091,6,5gcoronavirus,9
212503,6,5gcoronavirus,7
25089,6,5gcoronavirus,6
15762832,6,5gcoronavirus,6
33792,7,chemtrails,154
20506,7,chemtrails,106
77112,7,chemtrails,59
33793,7,chemtrails,56
25089,7,chemtrails,55
19002,7,chemtrails,44
66444,7,chemtrails,44
149294,7,chemtrails,41
82851,7,chemtrails,36
33796,7,chemtrails,27
4209470,8,flatearth,47
20506,8,flatearth,42
246962,8,flatearth,22
3436024,8,flatearth,22
12,8,flatearth,21
319318,8,flatearth,17
77112,8,flatearth,16
28270,8,flatearth,15
20002,8,flatearth,15
2045897,8,flatearth,15
20506,9,moonlandinghoax moonhoax,17
18587371,9,moonlandinghoax moonhoax,11
16610208,9,moonlandinghoax moonhoax,11
246962,9,moonlandinghoax moonhoax,11
9521977,9,moonlandinghoax moonhoax,11
488582,9,moonlandinghoax moonhoax,11
515197,9,moonlandinghoax moonhoax,6
7808023,9,moonlandinghoax moonhoax,6
1908514,9,moonlandinghoax moonhoax,6
33792,9,moonlandinghoax moonhoax,6
875154,10,illuminati,385
25089,10,illuminati,307
20506,10,illuminati,297
82851,10,illuminati,207
1093147,10,illuminati,168
12,10,illuminati,157
25091,10,illuminati,124
967857,10,illuminati,122
689728,10,illuminati,117
161349,10,illuminati,116
15169536,11,pizzagateisreal pedogateisreal,339
77112,11,pizzagateisreal pedogateisreal,288
20506,11,pizzagateisreal pedogateisreal,279
15673159,11,pizzagateisreal pedogateisreal,279
25089,11,pizzagateisreal pedogateisreal,269
82851,11,pizzagateisreal pedogateisreal,259
14415,11,pizzagateisreal pedogateisreal,208
25091,11,pizzagateisreal pedogateisreal,180
197,11,pizzagateisreal pedogateisreal,172
3137895,11,pizzagateisreal pedogateisreal,166
20506,12,911truth 911insidejob,27
2525313,12,911truth 911insidejob,23
25089,12,911truth 911insidejob,19
15604895,12,911truth 911insidejob,16
82851,12,911truth 911insidejob,16
18287,12,911truth 911insidejob,14
15291661,12,911truth 911insidejob,14
7014593,12,911truth 911insidejob,8
77112,12,911truth 911insidejob,5
140337,12,911truth 911insidejob,4
15513442,13,reptilians,17
82851,13,reptilians,16
4484231,13,reptilians,15
15640972,13,reptilians,15
15640973,13,reptilians,15
15640969,13,reptilians,15
15640968,13,reptilians,15
262114,13,reptilians,15
18288,13,reptilians,15
7229459,13,reptilians,15
